Kyu,Name,Desc,Detail,Picture
1,ソンナルマッキ(手刀受け),손날막기,手刀受け,NoImage
1,ソンナルモントンマッキ(手刀中段受け),손날몸통막기,手刀中段受け,NoImage
2,コドゥロチギ(ささえxxx),거들어치기,xxx,NoImage
2,ネリョチギ(xxx),내려치기,xxx,NoImage
2,ダンギチギ(xxx),당겨치기,xxx,NoImage
2,トリョチギ(xxx),돌려치기,xxx,NoImage
2,ティチギ(xxx),뒤치기,xxx,NoImage
2,パッカンチギ(xxx),바깥치기,xxx,NoImage
2,ピットロチギ(ひねりxxx),비틀어치기,xxx,NoImage
2,アンチギ(xxx),안치기,xxx,NoImage
2,アプチギ(xxx),앞치기,xxx,NoImage
2,ヨプチギ(横xx),옆치기,xxx,NoImage
2,オリョチギ(xxx),올려치기,xxx,NoImage
2,ピョチョクチギ(肘の標的打ち),표적치기,xxx,NoImage
2,ヤンソンナルマッキ(両手刀受け),양손날막기,両手刀受け,NoImage
3,ソンナルアレマッキ(手刀下段受け),손날아래막기,手刀下段受け,NoImage
3,メチュモネリョチギ(手刀打ち),맨주먹손날막기,手刀打ち,NoImage
3,ソンナルコドロアレマキ(手刀補助下段受け),손날거들어아래막기,手刀補助下段受け,NoImage
3,チェビブンモクチギ(燕型首打),제비품목치기,燕型首打け,NoImage
3,ソンナルピットロマッキ(手刀ひねり受け),손날비틀어막기,手刀ひねり受け,NoImage
3,コドロセオチルギ(ささえ縦突き),거들어 세워찌르기,ささえ縦突き,NoImage
3,ピョンソクセオチルギ(貫手縦突き),(편손끝) 세워찌르기,貫手縦突き,NoImage
3,カウォソンクオボチルギ(???突き),가위손끝 엎어찌르기,???突き,NoImage
3,オボチルギ(???突き),엎어찌르기,???突き,NoImage
3,ピョンソンクオボチルギ(???突き),(편손끝) 엎어찌르기,???突き,NoImage 
3,ピョンソンクオボチルギ(???突き),(편손끝) 엎어찌르기,???突き,NoImage 
3,コジョチルギ(???突き),젖혀찌르기,???突き,NoImage 
3,トゥソンクセウォチルギ(二???突き),두손끝 세워찌르기,???突き,NoImage 
3,セソンクセウォチルギ(三???突き),세손끝 세워찌르기,???突き,NoImage 
3,ハンソンクセウォチルギ(三???突き),한손끝 세워찌르기,???突き,NoImage 
