Kyu,Name,Desc,Detail,Picture
1,アレマッキ(下段受け),아래막기,下段受け,NoImage
1,モントンアンマッキ(中段受け),몸통안막기,中段受け,NoImage
1,オルグルマッキ(上段受け),얼굴막기,上段受け。オリョマッッキ(올려막기)とも言う。,NoImage
1,パッカンマッキ(中段外受け),바깥막기,中段外受け,NoImage
1,ヘッチョマッキ(両端受け),헤쳐막기,両端受け,NoImage
2,パタンソンマッキ(掌底受け),바닥손막기,掌底受け,NoImage
2,パタンソンアンマキ(掌底逆受け),바닥손안막기,掌底逆受け,NoImage
2,パタンソンコドロアンマキ(掌底補助内受け),바닥손거들어막기,掌底補助内受け,NoImage
2,チャマッキ(蹴り受け),차막기,蹴り受け,NoImage
3,ピットロマッキ(ひねり受け),비틀어막기,ひねり受け,NoImage
3,サントゥルマッキ(上段両受け),산틀막기,上段両受け,NoImage
3,ヨプマッキ(横受け),옆막기,横受け,NoImage
3,コドロマッキ(ささえ受け),거들어막기,ささえ受け,NoImage
3,コドロアレマッキ(拳下段ささえ受け),거들어아래막기,拳下段ささえ受け,NoImage
3,コドロモントンマッキ(拳中段ささえ受け),거들어몸통안막기,拳中段ささえ受け,NoImage
4,コドロアレマッキ(拳下段ささえ受け),거들어아래막기,拳下段ささえ受け,NoImage
4,コドロモントンマッキ(拳中段ささえ受け),거들어몸통안막기,拳中段ささえ受け,NoImage
4,カウィマッキ(はさみ受け),가위막기,はさみ受け,NoImage
4,コンガンマッキ(金剛受け？),금강막기,コンガンマッキ,NoImage
4,チョマッキ(xxx受け),쳐막기,xxx受け,NoImage
5,パダマッキ(xxx受け),받아막기,xxx受け,NoImage
5,ネリョマッキ(下ろし受け?),내려막기,xxx受け,NoImage
5,ヌロマッキ(押し受け?),눌러막기,xxx受け,NoImage
5,ファンソマッキ(牡牛受け),황소막기,牡牛受け,NoImage
5,コロマッキ(歩き受け),걸어막기,歩き受け,NoImage
5,ウェサントゥルマッキ(上下段両受け),xx산틀막기,上下段両受け,NoImage
