"Kyu", "Name", "Desc", "Detail", "Picture"
1, "チュモクチルギ", "正拳", "パンチします.", "NoImage"
1, "トゥンチュモクチギ", "裏拳", "裏拳パンチします.", "NoImage"
1, "メェヂュモクチギ", "槌拳", "槌拳パンチします.", "NoImage"
2, "ジョチョチルギ", "両手突き", "両手でパンチします.", "NoImage"
2, "コンガンチルギ(両手突き)", "금강지르기", "両手でパンチします.", "NoImage"
2, "ネリョチルギ(降ろし撃ち)", "내려지르기", "降ろし撃ち.", "NoImage"
2, "ティグジャチルギ('ティグ'字撃ち)", "‘ㄷ’자지르기", "'ティグ'字撃.", "NoImage"
2, "タンギョチルギ(引き撃ち?)", "당겨지르기", "引き撃ち", "NoImage"
2, "トリョチルギ(回し撃ち?)", "돌려지르기", "回し撃ち", "NoImage"
2, "ティチルギ(後ろ撃ち?)", "뒤지르기", "後ろ撃ち", "NoImage"
2, "セウォチルギ(縦撃ち?)", "세워지르기", "縦撃ち", "NoImage"
2, "ヨプチルギ(横撃ち?)", "옆지르기", "横撃ち", "NoImage"
2, "チョチョチルギ(退け撃ち?)", "젖혀지르기", "退け撃ち", "NoImage"
2, "チェッタチルギ(撃ち?)", "쳇다리지르기", "退け撃ち", "NoImage"
2, "チチルギ(退け撃ち?)", "치지르기", "退け撃ち", "NoImage"
2, "ピョジョチルギ(標的撃ち?)", "표적지르기", "標的撃ち", "NoImage"

