Kyu,Name,Desc,Detail,Picture
1,アプチャギ(前蹴り),앞차기,前に蹴ります。<br />ITFでアプチャチルギ。,NoImage
1,トルリョチャギ(回し蹴り),돌려차기,回して蹴る,NoImage
1,ネリョチャギ(踵落とし),내려차기,かかと落とし。チッキ(脳天蹴り),NoImage
1,ミリョチャギ(押し蹴り),밀어차기,押し蹴り,NoImage
2,ヨプチャギ(横蹴り),옆차기,横蹴り,NoImage
2,ティッチャギ(後ろ蹴り),뒷차기,後ろ蹴り,NoImage
3,アプフリギ(前振り回し蹴り),앞후리기,前振り回し蹴り,NoImage
3,アンチャギ(内回し蹴り),안차기,内回し蹴り,NoImage
3,バッカチャギ(外回し蹴り),바깥차기,外回し蹴り,NoImage
3,パルンバル(ステップ前回し蹴り),빠른발,빠른발차기(パルンバルチャギ）とも。ステップ前回し蹴り。試合でよく見かける蹴り、前方に移動しながら蹴る技です。ランナーと言われることもある。,NoImage
3,トルゲチャギ(回転蹴り),돌개차기,回転蹴り。ターン蹴り。,NoImage
3,パダチャギ(カウンター蹴り),받아차기,カウンター蹴り,NoImage
3,ナレチャギ(ダブル蹴り),나래차기,ダブル蹴り。양발차기(ヤンバルチャギ:両足蹴り)とも。,NoImage
4,ティオ・ティッチャギ(跳び後ろ蹴り),뛰어뒷차기,跳び後ろ蹴り,NoImage
4,ティオ・トルリョチャギ(跳び回し蹴り),뛰어돌려차기,跳び回し蹴り,NoImage
4,ヤンバルチャギ(両足蹴り),양발차기,両足蹴り,NoImage
4,サンダン(上段蹴り),상단,上段蹴り,NoImage
4,チュンダン(中段蹴り),중단,中段蹴り,NoImage
