Kyu,Name,Desc,Detail,Picture
1,カウィソンク(はさみ指？),가위손끝,？,NoImage
1,カムソン(?),곰손,？,NoImage
1,クビンソンモク(?),굽힌손목,？,NoImage
1,ティクムジ(?) ,뒤꿈치,？,NoImage
1,ティチュク(?) ,뒤축,？,NoImage
1,テュンチュモク(裏拳) ,등주먹,裏拳,NoImage
1,テュンパルモク(裏腕？) ,등팔목,裏腕？,NoImage
1,メチュモク(拳槌) ,메주먹,鉄槌打ち（てっついうち）もしくは鉄槌とは、空手・拳法などで使われる打ち技の一種,NoImage
1,モテュソンソンク(？) ,모둠손끝,？,NoImage
1,モウムテュソンソンク(？) ,모은두손끝,？,NoImage
1,モウムセソンク(？) ,모은세손끝,？,NoImage
1,ムルム(膝) ,무릎,膝,NoImage
1,ミッパルモク(腕？) ,밑팔목,？,NoImage
1,パッカンパルモク(腕？) ,바깥팔목,？,NoImage
1,パタンソン(掌底),바탕손,掌底,NoImage
1,パルク(つま先),발끝,つま先,NoImage
1,パルナル(足刀),발날,足刀,NoImage
1,パルナルトゥン(足刀の甲),발날등,足刀の甲,NoImage
1,パルトゥン(足甲),발등,足甲,NoImage
1,パルパタク(足裏),발바닥,足の裏,NoImage
1,パムチュモク(一本拳),밤주먹,栗の形をした拳,NoImage
1,セウンピョンチュモク(拳？),세운편주먹,？拳,NoImage
1,ソン(手),손,手,NoImage
1,ソンナル(手刀),손날,手刀,NoImage
1,ソンナルトゥン(手刀甲),손날등,手刀甲,NoImage
1,ソントゥン(手甲),손등,手甲,NoImage
1,ソンパタク(掌底), 손바닥,掌底,NoImage
1,アクムソン(？), 아금손,?,NoImage
1,アプチュク(？),앞축,?,NoImage
1,コンガンイ(脛),정강이,スネです。,NoImage
1,チュモク(拳),주먹,拳,NoImage
1,チブゲパムチュモク(？？拳),집게밤주먹,トング,NoImage
1,チブゲチュモク(？？拳),집게주먹,トング,NoImage
1,パル(腕),팔,腕,NoImage
1,パルグム(肘),팔굽,ひじ,NoImage
1,パルモク(手首),팔목,手首,NoImage
1,ピョンソンク(指先),편손끝,指先,NoImage
1,ピョンチュモク(？拳),편주먹,？拳,NoImage
1,ハンソンク(？),한손끝,？,NoImage
