Kyu,Name,Desc,Detail,Picture
1,チュモクチルギ(正拳),주먹지르기,パンチします.,VerticalPunch
1,トゥンチュモクチギ(裏拳),등주먹치기,裏拳パンチします.,NoImage
1,メェヂュモクチギ(槌拳),메주먹치기,槌拳パンチします.,NoImage
2,ジョチョチルギ(両手突き),xx지르기,両手でパンチします.,NoImage
2,コンガンチルギ(金剛突き?),금강지르기,両手でパンチします.,NoImage
2,ネリョチルギ(降ろし打ち),내려지르기,降ろし打ち.,NoImage
2,ティグジャチルギ('ティグ'字打ち),‘ㄷ’자지르기,'ティグ'字撃.,NoImage
2,タンギョチルギ(引き打ち?),당겨지르기,引き打ち,NoImage
2,トリョチルギ(回し打ち?),돌려지르기,回し打ち,NoImage
2,ティチルギ(後ろ打ち?),뒤지르기,後ろ打ち,NoImage
2,セウォチルギ(縦打ち?),세워지르기,縦打ち,NoImage
2,ヨプチルギ(横打ち?),옆지르기,横打ち,NoImage
2,チョチョチルギ(退け打ち?),젖혀지르기,退け打ち,NoImage
2,チェッタチルギ(打ち?),쳇다리지르기,退け打ち,NoImage
2,チチルギ(退け打ち?),치지르기,退け打ち,NoImage
2,ピョジョチルギ(標的打ち?),표적지르기,標的打ち,NoImage
2,トゥチュモクオリョチギ(双拳上げ打ち),두주먹올려치기,双拳上げ打ち,NoImag
2,パンデチルギ(順突),지르기,順突,NoImag
2,パロチルギ(逆突),지르기,逆突,NoImag
2,オルグルチルギ(上段正拳突),얼굴지르기,上段正拳突,NoImag
2,モントンチルギ(中段正拳突),몸통지르기,中段正拳突,NoImag
2,アレチルギ(下段正拳突),아래 지르기,中段正拳突,NoImag
2,トゥボンチルギ(二連突),두번지르기,二連突,NoImag
2,セーボンチルギ(三連突),세번지르기,三連突二連突,NoImag
2,ハンソンナルモクチギ(片手手刀首打),한손날먹치기,片手手刀首打,NoImag
2,メェヂュモクネリョチギ(鎚拳下げ打),메주먹내려치기,鎚拳下げ打,NoImag
2,ピョチョクパルチギ(標的肘打),표적치기,標的肘打,NoImag
