Kyu,Name,Desc,Detail,Picture
2,キョッダリソギ(隣立ち？),곁다리서기,漢水にある。,NoImage
2,コアソギ(交差立ち),꼬아서기,（ア・ティ）コアソギ(（前・後）交差立ち)もある。,NoImage
2,ナラニソギ(平行立ち),나란히서기,自然体.ジュンビソギともいう。,NoImage
2,ティックビ(後屈立ち),뒷굽이,身体の中心を背中に支え、体重を体重で支える。もっと身体の内側に座って "ㅗ"してください。,NoImage
2,モソギ(立ち),모서기,身が対角線方向を眺めるように前, 後に踏み出した姿勢。足を振って某方向に島として相手を攻撃するとか, 攻撃を身をかわして避ける姿勢です。,NoImage
2,モアソギ(閉足立ち),모아서기,hoge,NoImage
2,ポンソギ(猫足立ち),범서기,虎立ちとも呼ばれる。,NoImage
2,アックビ(前屈立ち),앞굽이,体重を前にする姿勢。体の中心を前方へ移動することを禁止する。,NoImage
2,アプソギ(歩行立ち),앞서기,自然体から軽く一歩足を出す。,NoImage
2,ヨプソギ(横立ち？),옆서기,ティックビの足幅を非常に狭くしたもの。,NoImage
2,チュチュムソギ(騎馬立ち),주춤서기,つま先の向きがチュンビソギと同じ平行で両足の間に足が２足分の幅が基本。,NoImage
2,ハクタリソギ(鶴足立ち),학다리서기,hoge,NoImage
